group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,2271219.0,ns,1
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,3773098.0,ns,2
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,6349432.0,ns,3
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,6659248.0,ns,4
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,9455595.0,ns,5
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,10116929.0,ns,6
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,11659110.0,ns,7
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,17981041.0,ns,8
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,15780426.0,ns,9
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,16606669.0,ns,10
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,19203004.0,ns,11
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,19815337.0,ns,12
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,24404877.0,ns,13
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,27238325.0,ns,14
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,24887802.0,ns,15
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,30971221.0,ns,16
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,33578856.0,ns,17
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,29312934.0,ns,18
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,26188070.0,ns,19
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,26267175.0,ns,20
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,37658070.0,ns,21
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,35264245.0,ns,22
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,38076792.0,ns,23
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,38192198.0,ns,24
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,42767438.0,ns,25
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,44036004.0,ns,26
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,46465831.0,ns,27
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,48298827.0,ns,28
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,52808863.0,ns,29
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,103885335.0,ns,30
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,61795933.0,ns,31
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,65119506.0,ns,32
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,66775792.0,ns,33
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,68592787.0,ns,34
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,72134972.0,ns,35
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,65691536.0,ns,36
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,62552371.0,ns,37
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,61717728.0,ns,38
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,64628680.0,ns,39
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,74740009.0,ns,40
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,75612154.0,ns,41
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,78942229.0,ns,42
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,72599697.0,ns,43
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,77756366.0,ns,44
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,76155883.0,ns,45
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,87681185.0,ns,46
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,79060933.0,ns,47
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,81571664.0,ns,48
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,95866312.0,ns,49
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,90937754.0,ns,50
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,89409175.0,ns,51
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,97402092.0,ns,52
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,85549972.0,ns,53
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,83809182.0,ns,54
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,102391452.0,ns,55
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,99273390.0,ns,56
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,116225975.0,ns,57
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,101742417.0,ns,58
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,101840422.0,ns,59
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,107726129.0,ns,60
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,112067657.0,ns,61
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,106745778.0,ns,62
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,118875413.0,ns,63
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,108135551.0,ns,64
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,111382120.0,ns,65
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,109708732.0,ns,66
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,111263413.0,ns,67
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,107991241.0,ns,68
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,127612066.0,ns,69
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,124360697.0,ns,70
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,130321207.0,ns,71
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,124490804.0,ns,72
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,122929521.0,ns,73
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,125380949.0,ns,74
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,135721388.0,ns,75
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,128371203.0,ns,76
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,149949030.0,ns,77
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,130458412.0,ns,78
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,129293552.0,ns,79
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,144920067.0,ns,80
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,135326866.0,ns,81
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,173238743.0,ns,82
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,151930431.0,ns,83
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,148439848.0,ns,84
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,137597382.0,ns,85
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,146381240.0,ns,86
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,139988708.0,ns,87
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,157882940.0,ns,88
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,180150100.0,ns,89
mate_in_2,,https://lichess.org/analysis/r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1_w_-,,,184632034.0,ns,90
