group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,3038184.0,ns,1
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,2703263.0,ns,2
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,4032344.0,ns,3
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,5459130.0,ns,4
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,6886616.0,ns,5
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,8982743.0,ns,6
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,11924321.0,ns,7
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,12921981.0,ns,8
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,12504155.0,ns,9
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,13650125.0,ns,10
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,21686011.0,ns,11
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,25788159.0,ns,12
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,21745814.0,ns,13
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,26630310.0,ns,14
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,27680073.0,ns,15
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,28527624.0,ns,16
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,29123160.0,ns,17
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,36147385.0,ns,18
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,33195107.0,ns,19
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,29385176.0,ns,20
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,34452282.0,ns,21
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,40684259.0,ns,22
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,43733143.0,ns,23
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,44691101.0,ns,24
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,41119185.0,ns,25
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,39614394.0,ns,26
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,42364661.0,ns,27
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,44516490.0,ns,28
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,50616460.0,ns,29
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,49090167.0,ns,30
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,56793833.0,ns,31
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,58912160.0,ns,32
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,58820154.0,ns,33
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,61410309.0,ns,34
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,62190157.0,ns,35
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,78619849.0,ns,36
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,74490999.0,ns,37
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,71638228.0,ns,38
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,74626108.0,ns,39
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,69159377.0,ns,40
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,72230263.0,ns,41
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,73772056.0,ns,42
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,70658569.0,ns,43
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,72915304.0,ns,44
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,75991690.0,ns,45
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,69346589.0,ns,46
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,80375753.0,ns,47
mate_in_2,,https://lichess.org/analysis/r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK_w_-,,,81770436.0,ns,48
