group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,1708599.0,ns,1
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,2925470.0,ns,2
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,5578924.0,ns,3
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,5697430.0,ns,4
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,7607241.0,ns,5
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,7026008.0,ns,6
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,9080627.0,ns,7
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,14178022.0,ns,8
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,10582514.0,ns,9
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,13788300.0,ns,10
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,15436295.0,ns,11
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,18892796.0,ns,12
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,26342528.0,ns,13
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,26024909.0,ns,14
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,27036568.0,ns,15
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,29120489.0,ns,16
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,26681048.0,ns,17
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,27038168.0,ns,18
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,31189009.0,ns,19
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,36816935.0,ns,20
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,34683012.0,ns,21
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,34335791.0,ns,22
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,34531702.0,ns,23
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,42623372.0,ns,24
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,39630098.0,ns,25
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,40235034.0,ns,26
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,45149418.0,ns,27
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,46582102.0,ns,28
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,50983957.0,ns,29
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,48688824.0,ns,30
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,58441990.0,ns,31
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,50572733.0,ns,32
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,50630537.0,ns,33
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,52422740.0,ns,34
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,54220944.0,ns,35
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,55289206.0,ns,36
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,57230818.0,ns,37
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,57934058.0,ns,38
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,61470264.0,ns,39
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,56481975.0,ns,40
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,60507108.0,ns,41
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,61341356.0,ns,42
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,68293060.0,ns,43
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,58013263.0,ns,44
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,66263942.0,ns,45
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,71279932.0,ns,46
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,72293892.0,ns,47
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,74961046.0,ns,48
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,75874099.0,ns,49
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,77641801.0,ns,50
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,73440256.0,ns,51
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,72639309.0,ns,52
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,73984488.0,ns,53
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,83818858.0,ns,54
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,85174236.0,ns,55
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,76189715.0,ns,56
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,91017775.0,ns,57
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,107958256.0,ns,58
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,91350994.0,ns,59
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,98877531.0,ns,60
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,101930007.0,ns,61
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,107743842.0,ns,62
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,100622229.0,ns,63
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,87196551.0,ns,64
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,93418712.0,ns,65
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,107928652.0,ns,66
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,107549130.0,ns,67
mate_in_2,,https://lichess.org/analysis/r4r1k/p2p3p/bp1Np3/4P3/2P2nR1/3B1q2/P1PQ4/2K3R1_w_-,,,108249771.0,ns,68
