group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,1845298.0,ns,1
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,3038761.0,ns,2
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,3942410.0,ns,3
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,6655954.0,ns,4
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,6524647.0,ns,5
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,9369598.0,ns,6
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,9561709.0,ns,7
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,10588463.0,ns,8
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,17428426.0,ns,9
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,11542214.0,ns,10
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,15427520.0,ns,11
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,17164213.0,ns,12
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,19702248.0,ns,13
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,23948173.0,ns,14
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,27736075.0,ns,15
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,27458660.0,ns,16
mate_in_2,,https://lichess.org/analysis/r4r1k/pp5p/n5p1/1q2Np1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,25751070.0,ns,17
