group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,1779683.0,ns,1
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,2344809.0,ns,2
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,5220242.0,ns,3
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,4840724.0,ns,4
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,5928075.0,ns,5
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,10853303.0,ns,6
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,8024572.0,ns,7
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,9224228.0,ns,8
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,11481532.0,ns,9
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,15284209.0,ns,10
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,16665072.0,ns,11
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,16464063.0,ns,12
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,18328850.0,ns,13
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,20724561.0,ns,14
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,18532159.0,ns,15
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,24300927.0,ns,16
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,26549430.0,ns,17
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,27802989.0,ns,18
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,47309393.0,ns,19
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,31317351.0,ns,20
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,24159220.0,ns,21
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,30898333.0,ns,22
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,33197339.0,ns,23
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,35317037.0,ns,24
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,33649260.0,ns,25
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,41134507.0,ns,26
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,43559619.0,ns,27
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,33958974.0,ns,28
mate_in_2,,https://lichess.org/analysis/r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R_b_-,,,35633852.0,ns,29
