group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,1886209.0,ns,1
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,3322592.0,ns,2
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,5741934.0,ns,3
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,7359827.0,ns,4
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,9082027.0,ns,5
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,10479209.0,ns,6
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,13003054.0,ns,7
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,13925608.0,ns,8
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,16238343.0,ns,9
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,17136894.0,ns,10
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,15560804.0,ns,11
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,17369908.0,ns,12
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,19467330.0,ns,13
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,19624840.0,ns,14
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,21221631.0,ns,15
mate_in_2,,https://lichess.org/analysis/r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1_w_-,,,23714577.0,ns,16
