group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,1559025.0,ns,1
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,3196056.0,ns,2
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,5863471.0,ns,3
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,4492560.0,ns,4
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,6901354.0,ns,5
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,7602510.0,ns,6
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,7326388.0,ns,7
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,8365371.0,ns,8
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,9776485.0,ns,9
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,14319849.0,ns,10
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,19226342.0,ns,11
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,17192980.0,ns,12
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,22524607.0,ns,13
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,15040707.0,ns,14
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,19119834.0,ns,15
mate_in_2,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3_b_-,,,22259986.0,ns,16
