group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,1445380.0,ns,1
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,2139617.0,ns,2
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,3070569.0,ns,3
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,4255934.0,ns,4
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,5624709.0,ns,5
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,6097535.0,ns,6
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,8339858.0,ns,7
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,8592672.0,ns,8
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,9932446.0,ns,9
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,12787402.0,ns,10
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,12297876.0,ns,11
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,12405581.0,ns,12
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,13511742.0,ns,13
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,18188199.0,ns,14
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,16420402.0,ns,15
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,16349598.0,ns,16
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,18987343.0,ns,17
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,20510726.0,ns,18
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,19794487.0,ns,19
mate_in_2,,https://lichess.org/analysis/r7/4k1Pp/2n1p2P/q2pp1N1/1p4P1/1P6/P4R2/1K1R4_w_-,,,21633888.0,ns,20
