group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,3321414.0,ns,1
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,3244909.0,ns,2
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,4246073.0,ns,3
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,8799968.0,ns,4
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,14036104.0,ns,5
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,12243189.0,ns,6
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,9835134.0,ns,7
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,10967607.0,ns,8
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,14301222.0,ns,9
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,18275878.0,ns,10
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,18829114.0,ns,11
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,18677503.0,ns,12
mate_in_2,,https://lichess.org/analysis/r7/6R1/ppkqrn1B/2pp3p/P6n/2N5/8/1Q1R1K2_w_-,,,24212560.0,ns,13
