group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,1706699.0,ns,1
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,2264630.0,ns,2
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,3419596.0,ns,3
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,5035490.0,ns,4
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,5613423.0,ns,5
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,6842693.0,ns,6
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,7907455.0,ns,7
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,10036877.0,ns,8
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,10180485.0,ns,9
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,11361554.0,ns,10
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,12608925.0,ns,11
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,15789507.0,ns,12
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,18865585.0,ns,13
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,19159602.0,ns,14
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,18365056.0,ns,15
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,19774237.0,ns,16
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,29197678.0,ns,17
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,25219550.0,ns,18
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,24940534.0,ns,19
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,20289766.0,ns,20
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,26652933.0,ns,21
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,29736409.0,ns,22
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,29046570.0,ns,23
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,27197164.0,ns,24
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,29643605.0,ns,25
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,33490825.0,ns,26
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,31194394.0,ns,27
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,37972083.0,ns,28
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,33956952.0,ns,29
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,33824245.0,ns,30
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,46306563.0,ns,31
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,41132665.0,ns,32
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,47125609.0,ns,33
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,50543806.0,ns,34
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,44222543.0,ns,35
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,38556517.0,ns,36
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,39637279.0,ns,37
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,46439770.0,ns,38
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,66262608.0,ns,39
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,46287360.0,ns,40
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,47864451.0,ns,41
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,51587164.0,ns,42
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,52239702.0,ns,43
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,66658331.0,ns,44
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,56869568.0,ns,45
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,63051323.0,ns,46
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,58958288.0,ns,47
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,62277579.0,ns,48
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,57762020.0,ns,49
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,59086395.0,ns,50
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,64912930.0,ns,51
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,64809125.0,ns,52
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,70454148.0,ns,53
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,64147987.0,ns,54
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,64572510.0,ns,55
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,72761479.0,ns,56
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,70890872.0,ns,57
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,78275496.0,ns,58
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,70304438.0,ns,59
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,78418104.0,ns,60
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,74513280.0,ns,61
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,72170045.0,ns,62
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,78202491.0,ns,63
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,81734795.0,ns,64
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,86364960.0,ns,65
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,80174305.0,ns,66
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,80691435.0,ns,67
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,82476336.0,ns,68
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,80471020.0,ns,69
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,87189605.0,ns,70
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,93219051.0,ns,71
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,96402934.0,ns,72
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,92670419.0,ns,73
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,91618260.0,ns,74
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,88806398.0,ns,75
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,96442436.0,ns,76
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,96549343.0,ns,77
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,90956321.0,ns,78
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,95399576.0,ns,79
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,93792581.0,ns,80
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,96696848.0,ns,81
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,107441465.0,ns,82
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,103727751.0,ns,83
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,112321945.0,ns,84
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,108649033.0,ns,85
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,105307442.0,ns,86
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,116995013.0,ns,87
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,102112859.0,ns,88
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,103631643.0,ns,89
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,99658814.0,ns,90
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,99569109.0,ns,91
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,112489151.0,ns,92
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,109496179.0,ns,93
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,119275240.0,ns,94
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,100129842.0,ns,95
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,125474095.0,ns,96
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,135799788.0,ns,97
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,124963263.0,ns,98
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,129855243.0,ns,99
mate_in_2,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,125877214.0,ns,100
