group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,1314849.0,ns,1
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,1657062.0,ns,2
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,3612635.0,ns,3
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,5646010.0,ns,4
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,5419202.0,ns,5
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,6636447.0,ns,6
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,14267532.0,ns,7
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,12443764.0,ns,8
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,10246982.0,ns,9
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,17166541.0,ns,10
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,14145327.0,ns,11
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,15639283.0,ns,12
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,11996648.0,ns,13
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,18924806.0,ns,14
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,13618908.0,ns,15
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,21686008.0,ns,16
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,20791676.0,ns,17
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,23078060.0,ns,18
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,19295820.0,ns,19
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,17817464.0,ns,20
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,26212677.0,ns,21
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,26887903.0,ns,22
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,25014233.0,ns,23
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,19574630.0,ns,24
mate_in_2,,https://lichess.org/analysis/rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR_w_-,,,27059809.0,ns,25
