group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,1344913.0,ns,1
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,3479093.0,ns,2
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,3847424.0,ns,3
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,5092229.0,ns,4
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,6416741.0,ns,5
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,4916714.0,ns,6
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,5868195.0,ns,7
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,8589623.0,ns,8
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,11385859.0,ns,9
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,10874616.0,ns,10
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,14399612.0,ns,11
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,13324521.0,ns,12
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,13542540.0,ns,13
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,16155759.0,ns,14
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,19535544.0,ns,15
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,20962164.0,ns,16
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,16939126.0,ns,17
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,18958595.0,ns,18
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,23031939.0,ns,19
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,22692709.0,ns,20
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,22285576.0,ns,21
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,25463643.0,ns,22
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,26944568.0,ns,23
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,25268226.0,ns,24
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,31983492.0,ns,25
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,37236934.0,ns,26
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,43436056.0,ns,27
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,41694309.0,ns,28
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,47692314.0,ns,29
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,41693109.0,ns,30
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,41266373.0,ns,31
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,42632888.0,ns,32
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,48985223.0,ns,33
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,37820083.0,ns,34
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,37374645.0,ns,35
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,40077273.0,ns,36
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,34808730.0,ns,37
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,36405064.0,ns,38
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,52576124.0,ns,39
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,48366471.0,ns,40
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,52667132.0,ns,41
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,54572089.0,ns,42
mate_in_2,,https://lichess.org/analysis/rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R_w_-,,,54367171.0,ns,43
