group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,1804829.0,ns,1
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,2481577.0,ns,2
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,3780170.0,ns,3
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,5052761.0,ns,4
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,6218344.0,ns,5
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,7449032.0,ns,6
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,9743096.0,ns,7
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,10004815.0,ns,8
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,11623330.0,ns,9
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,12470591.0,ns,10
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,15548710.0,ns,11
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,14896564.0,ns,12
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,16401072.0,ns,13
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,18371612.0,ns,14
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,18967855.0,ns,15
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,20341753.0,ns,16
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,27075234.0,ns,17
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,25552225.0,ns,18
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,24616558.0,ns,19
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,25234702.0,ns,20
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,33325080.0,ns,21
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,35265018.0,ns,22
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,30060547.0,ns,23
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,27437760.0,ns,24
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,30395771.0,ns,25
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,38986285.0,ns,26
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,33072262.0,ns,27
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,34826887.0,ns,28
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,29364298.0,ns,29
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,35797056.0,ns,30
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,37970412.0,ns,31
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,36259989.0,ns,32
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,44497376.0,ns,33
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,44358765.0,ns,34
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,51788195.0,ns,35
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,47529492.0,ns,36
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,46999155.0,ns,37
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,48990996.0,ns,38
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,50632013.0,ns,39
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,51184153.0,ns,40
mate_in_2,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R_b_kq,,,52899675.0,ns,41
