group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,1086359.0,ns,1
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,2957459.0,ns,2
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,3405684.0,ns,3
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,3482587.0,ns,4
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,5899718.0,ns,5
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,6671559.0,ns,6
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,9931335.0,ns,7
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,7002777.0,ns,8
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,7512304.0,ns,9
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,10405061.0,ns,10
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,12714384.0,ns,11
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,13589532.0,ns,12
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,12311363.0,ns,13
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,13257414.0,ns,14
mate_in_2,,https://lichess.org/analysis/rnR5/p3p1kp/4p1pn/bpP5/5BP1/5N1P/2P2P2/2K5_w_-,,,16028563.0,ns,15
