group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,1538869.0,ns,1
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,1991490.0,ns,2
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,4727914.0,ns,3
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,4877521.0,ns,4
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,7420236.0,ns,5
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,8050865.0,ns,6
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,10073055.0,ns,7
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,12431662.0,ns,8
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,12489666.0,ns,9
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,11166705.0,ns,10
mate_in_2,,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR_b_KQkq,,,12975887.0,ns,11
