group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,1353151.0,ns,1
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,2652299.0,ns,2
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,3327124.0,ns,3
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,3656237.0,ns,4
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,4618773.0,ns,5
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,5232296.0,ns,6
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,6134029.0,ns,7
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,7394777.0,ns,8
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,9323349.0,ns,9
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,12516168.0,ns,10
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,13646811.0,ns,11
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,14172530.0,ns,12
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,16884232.0,ns,13
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,16644222.0,ns,14
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,19581333.0,ns,15
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,15139967.0,ns,16
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,22708449.0,ns,17
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,23520080.0,ns,18
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,23207969.0,ns,19
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,21549306.0,ns,20
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,26122277.0,ns,21
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,25710262.0,ns,22
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,24639822.0,ns,23
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,27217018.0,ns,24
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,26419489.0,ns,25
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,31023361.0,ns,26
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,29885318.0,ns,27
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,35181216.0,ns,28
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,32044999.0,ns,29
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,32700423.0,ns,30
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,45203692.0,ns,31
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,42461988.0,ns,32
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,39117564.0,ns,33
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,38358535.0,ns,34
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,44465164.0,ns,35
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,47027259.0,ns,36
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,47296370.0,ns,37
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,52613068.0,ns,38
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,49451450.0,ns,39
mate_in_2,,https://lichess.org/analysis/rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR_w_-,,,49932569.0,ns,40
