group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,1458188.0,ns,1
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,1805208.0,ns,2
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,3182692.0,ns,3
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,4618877.0,ns,4
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,6797509.0,ns,5
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,6884914.0,ns,6
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,8060084.0,ns,7
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,11127369.0,ns,8
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,11265577.0,ns,9
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,14702284.0,ns,10
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,13139889.0,ns,11
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,15436028.0,ns,12
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,14919197.0,ns,13
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,16041064.0,ns,14
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,18488111.0,ns,15
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,18852033.0,ns,16
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,20842553.0,ns,17
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,20719045.0,ns,18
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,23568316.0,ns,19
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,22897976.0,ns,20
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,28728427.0,ns,21
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,26190374.0,ns,22
mate_in_2,,https://lichess.org/analysis/rqb2bk1/3n2pr/p1pp2Qp/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,28434909.0,ns,23
