group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,49979566.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,49656750.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,43116141.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,43804673.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,50935511.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,57569924.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,51554040.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,52635091.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,53637239.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,51647344.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,49113825.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,49714552.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,45524755.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,46744212.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,49413139.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,46422597.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,45425850.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,47771260.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,45394549.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,49182827.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,46489900.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,43490858.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,44946227.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,42192897.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,47266337.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,52382179.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,48888014.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,46999824.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,54602184.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,51763350.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,48893514.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,53939652.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,56729085.0,ns,17
mate_in_3,,https://lichess.org/analysis/2rrk3/QR3pp1/2n1b2p/1BB1q3/3P4/8/P4PPP/6K1_w_-,,,60458761.0,ns,17
