group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,3130751.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2906840.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2913341.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2918841.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,3029346.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2912440.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2909341.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2908040.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2901140.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,2978844.0,ns,1
mate_in_3,,https://lichess.org/analysis/3q1r1k/2p4p/1p1pBrp1/p2Pp3/2PnP3/5PP1/PP1Q2K1/5R1R_w_-,,,3044247.0,ns,1
