group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,3327359.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2710030.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,3142650.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,3138350.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2707230.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2698229.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,3922487.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2698229.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2683129.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2690928.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2696529.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2758932.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2686729.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2694929.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2690028.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2680329.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2698229.0,ns,1
mate_in_3,,https://lichess.org/analysis/3r4/pp5Q/B7/k7/3q4/2b5/P4PPP/1R4K1_w_-,,,2753431.0,ns,1
