group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,3055945.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2779331.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2725329.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2743330.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2815233.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,3210152.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2734129.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2743730.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2776031.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2776432.0,ns,1
mate_in_3,,https://lichess.org/analysis/7k/pbp3bp/3p4/1p5q/3n2p1/5rB1/PP1NrN1P/1Q1BRRK1_b_-,,,2887536.0,ns,1
