group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,1978295.0,ns,1
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,4750429.0,ns,2
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,4925136.0,ns,3
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,7127343.0,ns,4
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,8144591.0,ns,5
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,9650464.0,ns,6
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,11222739.0,ns,7
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,14016773.0,ns,8
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,14316188.0,ns,9
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,16870411.0,ns,10
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,17793055.0,ns,11
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,18173773.0,ns,12
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,21112214.0,ns,13
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,24024855.0,ns,14
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,27572025.0,ns,15
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,28739581.0,ns,16
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,27202307.0,ns,17
mate_in_3,,https://lichess.org/analysis/8/2p3N1/6p1/5PB1/pp2Rn2/7k/P1p2K1P/3r4_w_-,,,26984296.0,ns,18
