group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,48694211.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,45798274.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,45083640.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,52161176.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,48146186.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,48051681.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,43691773.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,43496665.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,45175245.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,39868092.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,44843229.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,42052196.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,38373121.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,36453830.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,37288270.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,42541019.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,35978508.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,40849639.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,43204751.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,47218041.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,41394265.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,41432366.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,37291670.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,40189308.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,44889231.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,36953153.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,41563072.0,ns,21
mate_in_3,,https://lichess.org/analysis/8/Qp4pk/2p3b1/5p1p/3B3P/1P4P1/P1P1rnBK/3r4_b_-,,,42019695.0,ns,21
