group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,42092424.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,40684757.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,39341192.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,38668560.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,39517201.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,39812115.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,38050030.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,34936280.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,44339733.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,44216627.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,34102340.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,33690520.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,47218471.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,46242824.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,42963566.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,44216627.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,47121066.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,40918568.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,41220782.0,ns,11
mate_in_3,,https://lichess.org/analysis/N1bk4/pp1p1Qpp/8/2b5/3n3q/8/PPP2RPP/RNB1rBK1_b_-,,,41340289.0,ns,11
