group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,40003639.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,36531271.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,37333810.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,40523065.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,39044894.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,38040944.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,35674130.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,39501516.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,35786435.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,35376315.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,37531620.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,35739633.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,33416920.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,28391877.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,35302712.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,32573279.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,35269910.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,34093653.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,31899447.0,ns,12
mate_in_3,,https://lichess.org/analysis/r1b1kb1r/pppp1ppp/5q2/4n3/3KP3/2N3PN/PPP4P/R1BQ1B1R_b_kq,,,32806891.0,ns,12
