group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2733233.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2352614.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2247409.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2255109.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2580825.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,3306960.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2060000.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2722532.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,2056899.0,ns,1
mate_in_3,,https://lichess.org/analysis/r1b3kr/ppp1Bp1p/1b6/n2P4/2p3q1/2Q2N2/P4PPP/RN2R1K1_w_-,,,3189055.0,ns,1
