group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,30480160.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,31642815.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,31523109.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,29526013.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,33999328.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,31989532.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,27210002.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,29694821.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,34468050.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,33973827.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,33590408.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,30423857.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,29429509.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,32032733.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,33669912.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,30720271.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,25420117.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,26579173.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,27613322.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,26565671.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,31646916.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,25639627.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,30466659.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,35557502.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,32898475.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,31166592.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,30114542.0,ns,16
mate_in_3,,https://lichess.org/analysis/r1bqr1k1/ppp2pp1/3p4/4n1NQ/2B1PN2/8/P4PPP/b4RK1_w_-,,,30998184.0,ns,16
