group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2150104.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1631878.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1740085.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1646879.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2559324.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1646580.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2440118.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2431518.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2089701.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2520722.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1795186.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2579824.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2626027.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2551924.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2507421.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1724484.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2592225.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1837089.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,6084194.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1967895.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1627878.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2429018.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2987844.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2717332.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1661580.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2692530.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1656680.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1664280.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1621079.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1756685.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1777286.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1851589.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2436418.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2420717.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1795287.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2133203.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1689482.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,2614927.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,1683181.0,ns,1
mate_in_3,,https://lichess.org/analysis/r2n1rk1/1ppb2pp/1p1p4/3Ppq1n/2B3P1/2P4P/PP1N1P1K/R2Q1RN1_b_-,,,3797184.0,ns,1
