group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
perft_init,,1,,,1193957.0,ns,4
perft_init,,1,,,2429617.0,ns,8
perft_init,,1,,,3769082.0,ns,12
perft_init,,1,,,4785831.0,ns,16
perft_init,,1,,,5964587.0,ns,20
perft_init,,1,,,7737173.0,ns,24
perft_init,,1,,,8502110.0,ns,28
perft_init,,1,,,10070585.0,ns,32
perft_init,,1,,,11011731.0,ns,36
perft_init,,1,,,12625208.0,ns,40
perft_init,,1,,,13133533.0,ns,44
perft_init,,1,,,14448597.0,ns,48
perft_init,,1,,,15988971.0,ns,52
perft_init,,1,,,16829711.0,ns,56
perft_init,,1,,,18931312.0,ns,60
perft_init,,1,,,19308831.0,ns,64
perft_init,,1,,,20553090.0,ns,68
perft_init,,1,,,22457383.0,ns,72
perft_init,,1,,,22986308.0,ns,76
perft_init,,1,,,24708591.0,ns,80
perft_init,,1,,,25664837.0,ns,84
perft_init,,1,,,27074205.0,ns,88
perft_init,,1,,,28025450.0,ns,92
perft_init,,1,,,29509623.0,ns,96
perft_init,,1,,,30969192.0,ns,100
perft_init,,1,,,31759531.0,ns,104
perft_init,,1,,,34049841.0,ns,108
perft_init,,1,,,34462261.0,ns,112
perft_init,,1,,,36051438.0,ns,116
perft_init,,1,,,37511608.0,ns,120
perft_init,,1,,,37627014.0,ns,124
perft_init,,1,,,39952625.0,ns,128
perft_init,,1,,,40417248.0,ns,132
perft_init,,1,,,46375636.0,ns,136
perft_init,,1,,,46019303.0,ns,140
perft_init,,1,,,48986935.0,ns,144
perft_init,,1,,,50440405.0,ns,148
perft_init,,1,,,49739671.0,ns,152
perft_init,,1,,,52341995.0,ns,156
perft_init,,1,,,49430956.0,ns,160
perft_init,,1,,,50280497.0,ns,164
perft_init,,1,,,50958529.0,ns,168
perft_init,,1,,,53481249.0,ns,172
perft_init,,1,,,54218885.0,ns,176
perft_init,,1,,,55462844.0,ns,180
perft_init,,1,,,61938652.0,ns,184
perft_init,,1,,,58908208.0,ns,188
perft_init,,1,,,60423980.0,ns,192
perft_init,,1,,,62880297.0,ns,196
perft_init,,1,,,61516732.0,ns,200
perft_init,,1,,,62667988.0,ns,204
perft_init,,1,,,64462672.0,ns,208
perft_init,,1,,,65126284.0,ns,212
perft_init,,1,,,66173619.0,ns,216
perft_init,,1,,,67616388.0,ns,220
perft_init,,1,,,70135507.0,ns,224
perft_init,,1,,,70582728.0,ns,228
perft_init,,1,,,70691233.0,ns,232
perft_init,,1,,,72609823.0,ns,236
perft_init,,1,,,79622554.0,ns,240
perft_init,,1,,,74976735.0,ns,244
perft_init,,1,,,87522226.0,ns,248
perft_init,,1,,,81046421.0,ns,252
perft_init,,1,,,77555456.0,ns,256
perft_init,,1,,,81951164.0,ns,260
perft_init,,1,,,80927404.0,ns,264
perft_init,,1,,,81955722.0,ns,268
perft_init,,1,,,86305525.0,ns,272
perft_init,,1,,,89604278.0,ns,276
perft_init,,1,,,87430577.0,ns,280
perft_init,,1,,,87695690.0,ns,284
perft_init,,1,,,88222414.0,ns,288
perft_init,,1,,,91612872.0,ns,292
perft_init,,1,,,91176352.0,ns,296
perft_init,,1,,,93029938.0,ns,300
perft_init,,1,,,94863524.0,ns,304
perft_init,,1,,,95415344.0,ns,308
perft_init,,1,,,95307496.0,ns,312
perft_init,,1,,,96203237.0,ns,316
perft_init,,1,,,101021160.0,ns,320
perft_init,,1,,,99474389.0,ns,324
perft_init,,1,,,100753347.0,ns,328
perft_init,,1,,,103423071.0,ns,332
perft_init,,1,,,104646927.0,ns,336
perft_init,,1,,,104831035.0,ns,340
perft_init,,1,,,105257155.0,ns,344
perft_init,,1,,,107131328.0,ns,348
perft_init,,1,,,111016266.0,ns,352
perft_init,,1,,,115706380.0,ns,356
perft_init,,1,,,111006965.0,ns,360
perft_init,,1,,,110992364.0,ns,364
perft_init,,1,,,112698743.0,ns,368
perft_init,,1,,,113777991.0,ns,372
perft_init,,1,,,115845786.0,ns,376
perft_init,,1,,,118342800.0,ns,380
perft_init,,1,,,118080361.0,ns,384
perft_init,,1,,,118297840.0,ns,388
perft_init,,1,,,120678947.0,ns,392
perft_init,,1,,,121592489.0,ns,396
perft_init,,1,,,122283520.0,ns,400
