group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
perft_init,,2,,,1373698.0,ns,4
perft_init,,2,,,2292095.0,ns,8
perft_init,,2,,,3676194.0,ns,12
perft_init,,2,,,4213892.0,ns,16
perft_init,,2,,,5404391.0,ns,20
perft_init,,2,,,6294689.0,ns,24
perft_init,,2,,,7502186.0,ns,28
perft_init,,2,,,8816185.0,ns,32
perft_init,,2,,,10947980.0,ns,36
perft_init,,2,,,11179580.0,ns,40
perft_init,,2,,,13409077.0,ns,44
perft_init,,2,,,15529472.0,ns,48
perft_init,,2,,,16516571.0,ns,52
perft_init,,2,,,16803070.0,ns,56
perft_init,,2,,,19088566.0,ns,60
perft_init,,2,,,18983466.0,ns,64
perft_init,,2,,,20225064.0,ns,68
perft_init,,2,,,21824161.0,ns,72
perft_init,,2,,,22523860.0,ns,76
perft_init,,2,,,23681858.0,ns,80
perft_init,,2,,,24487157.0,ns,84
perft_init,,2,,,26598653.0,ns,88
perft_init,,2,,,29022248.0,ns,92
perft_init,,2,,,28334750.0,ns,96
perft_init,,2,,,29754747.0,ns,100
perft_init,,2,,,31742743.0,ns,104
perft_init,,2,,,31420844.0,ns,108
perft_init,,2,,,34618139.0,ns,112
perft_init,,2,,,34943337.0,ns,116
perft_init,,2,,,35686137.0,ns,120
perft_init,,2,,,35141937.0,ns,124
perft_init,,2,,,34655339.0,ns,128
perft_init,,2,,,37146133.0,ns,132
perft_init,,2,,,37280134.0,ns,136
perft_init,,2,,,40234628.0,ns,140
perft_init,,2,,,39395730.0,ns,144
perft_init,,2,,,45026420.0,ns,148
perft_init,,2,,,43570422.0,ns,152
perft_init,,2,,,45440820.0,ns,156
perft_init,,2,,,44895520.0,ns,160
perft_init,,2,,,47483015.0,ns,164
perft_init,,2,,,46295718.0,ns,168
perft_init,,2,,,48317013.0,ns,172
perft_init,,2,,,48280915.0,ns,176
perft_init,,2,,,50168110.0,ns,180
perft_init,,2,,,56882899.0,ns,184
perft_init,,2,,,57388298.0,ns,188
perft_init,,2,,,58440896.0,ns,192
perft_init,,2,,,56157499.0,ns,196
perft_init,,2,,,57220898.0,ns,200
perft_init,,2,,,56254300.0,ns,204
perft_init,,2,,,59319194.0,ns,208
perft_init,,2,,,60860891.0,ns,212
perft_init,,2,,,60782592.0,ns,216
perft_init,,2,,,68042878.0,ns,220
perft_init,,2,,,67869279.0,ns,224
perft_init,,2,,,67799179.0,ns,228
perft_init,,2,,,65441783.0,ns,232
perft_init,,2,,,68780778.0,ns,236
perft_init,,2,,,74378567.0,ns,240
perft_init,,2,,,75331865.0,ns,244
perft_init,,2,,,76939063.0,ns,248
perft_init,,2,,,74310367.0,ns,252
perft_init,,2,,,92443135.0,ns,256
perft_init,,2,,,92142335.0,ns,260
perft_init,,2,,,94811231.0,ns,264
perft_init,,2,,,84874048.0,ns,268
perft_init,,2,,,83722650.0,ns,272
perft_init,,2,,,89514040.0,ns,276
perft_init,,2,,,89075640.0,ns,280
perft_init,,2,,,91156337.0,ns,284
perft_init,,2,,,85755347.0,ns,288
perft_init,,2,,,82780452.0,ns,292
perft_init,,2,,,84778448.0,ns,296
perft_init,,2,,,99210622.0,ns,300
perft_init,,2,,,91156837.0,ns,304
perft_init,,2,,,92190834.0,ns,308
perft_init,,2,,,97700125.0,ns,312
perft_init,,2,,,104029114.0,ns,316
perft_init,,2,,,98001424.0,ns,320
perft_init,,2,,,98341724.0,ns,324
perft_init,,2,,,96830926.0,ns,328
perft_init,,2,,,95746628.0,ns,332
perft_init,,2,,,104499113.0,ns,336
perft_init,,2,,,112856297.0,ns,340
perft_init,,2,,,106335809.0,ns,344
perft_init,,2,,,109881703.0,ns,348
perft_init,,2,,,105333510.0,ns,352
perft_init,,2,,,106535609.0,ns,356
perft_init,,2,,,109548603.0,ns,360
perft_init,,2,,,102493716.0,ns,364
perft_init,,2,,,120812183.0,ns,368
perft_init,,2,,,137000353.0,ns,372
perft_init,,2,,,137238353.0,ns,376
perft_init,,2,,,136334855.0,ns,380
perft_init,,2,,,126363172.0,ns,384
perft_init,,2,,,123307678.0,ns,388
perft_init,,2,,,128064769.0,ns,392
perft_init,,2,,,121834881.0,ns,396
perft_init,,2,,,126869871.0,ns,400
