group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
perft_kiwipete,,0,,,1051908.0,ns,23
perft_kiwipete,,0,,,2140916.0,ns,46
perft_kiwipete,,0,,,2904322.0,ns,69
perft_kiwipete,,0,,,3920030.0,ns,92
perft_kiwipete,,0,,,4986437.0,ns,115
perft_kiwipete,,0,,,5995746.0,ns,138
perft_kiwipete,,0,,,7049353.0,ns,161
perft_kiwipete,,0,,,8090362.0,ns,184
perft_kiwipete,,0,,,8660265.0,ns,207
perft_kiwipete,,0,,,10239578.0,ns,230
perft_kiwipete,,0,,,10747781.0,ns,253
perft_kiwipete,,0,,,11994491.0,ns,276
perft_kiwipete,,0,,,13297701.0,ns,299
perft_kiwipete,,0,,,13198400.0,ns,322
perft_kiwipete,,0,,,14521910.0,ns,345
perft_kiwipete,,0,,,15186815.0,ns,368
perft_kiwipete,,0,,,17011929.0,ns,391
perft_kiwipete,,0,,,17763935.0,ns,414
perft_kiwipete,,0,,,18569541.0,ns,437
perft_kiwipete,,0,,,20205453.0,ns,460
perft_kiwipete,,0,,,21521963.0,ns,483
perft_kiwipete,,0,,,20745657.0,ns,506
perft_kiwipete,,0,,,21533364.0,ns,529
perft_kiwipete,,0,,,23221576.0,ns,552
perft_kiwipete,,0,,,22628071.0,ns,575
perft_kiwipete,,0,,,24926089.0,ns,598
perft_kiwipete,,0,,,25393293.0,ns,621
perft_kiwipete,,0,,,28304814.0,ns,644
perft_kiwipete,,0,,,28337015.0,ns,667
perft_kiwipete,,0,,,28729818.0,ns,690
perft_kiwipete,,0,,,30041027.0,ns,713
perft_kiwipete,,0,,,31973743.0,ns,736
perft_kiwipete,,0,,,33744156.0,ns,759
perft_kiwipete,,0,,,34004157.0,ns,782
perft_kiwipete,,0,,,33446954.0,ns,805
perft_kiwipete,,0,,,35355668.0,ns,828
perft_kiwipete,,0,,,41152012.0,ns,851
perft_kiwipete,,0,,,38544492.0,ns,874
perft_kiwipete,,0,,,40379705.0,ns,897
perft_kiwipete,,0,,,40689909.0,ns,920
perft_kiwipete,,0,,,39878302.0,ns,943
perft_kiwipete,,0,,,41745416.0,ns,966
perft_kiwipete,,0,,,42572622.0,ns,989
perft_kiwipete,,0,,,42891625.0,ns,1012
perft_kiwipete,,0,,,44186635.0,ns,1035
perft_kiwipete,,0,,,46023449.0,ns,1058
perft_kiwipete,,0,,,49670376.0,ns,1081
perft_kiwipete,,0,,,49012171.0,ns,1104
perft_kiwipete,,0,,,48958471.0,ns,1127
perft_kiwipete,,0,,,47966663.0,ns,1150
perft_kiwipete,,0,,,50508583.0,ns,1173
perft_kiwipete,,0,,,50201280.0,ns,1196
perft_kiwipete,,0,,,56033524.0,ns,1219
perft_kiwipete,,0,,,54195411.0,ns,1242
perft_kiwipete,,0,,,54397112.0,ns,1265
perft_kiwipete,,0,,,52815200.0,ns,1288
perft_kiwipete,,0,,,56010624.0,ns,1311
perft_kiwipete,,0,,,57483635.0,ns,1334
perft_kiwipete,,0,,,58167341.0,ns,1357
perft_kiwipete,,0,,,59248248.0,ns,1380
perft_kiwipete,,0,,,59349149.0,ns,1403
perft_kiwipete,,0,,,60849161.0,ns,1426
perft_kiwipete,,0,,,60995261.0,ns,1449
perft_kiwipete,,0,,,60263057.0,ns,1472
perft_kiwipete,,0,,,62642874.0,ns,1495
perft_kiwipete,,0,,,65664197.0,ns,1518
perft_kiwipete,,0,,,63473180.0,ns,1541
perft_kiwipete,,0,,,66612604.0,ns,1564
perft_kiwipete,,0,,,68358518.0,ns,1587
perft_kiwipete,,0,,,72577049.0,ns,1610
perft_kiwipete,,0,,,68804721.0,ns,1633
perft_kiwipete,,0,,,68565819.0,ns,1656
perft_kiwipete,,0,,,68633919.0,ns,1679
perft_kiwipete,,0,,,74743465.0,ns,1702
perft_kiwipete,,0,,,76162176.0,ns,1725
perft_kiwipete,,0,,,75006567.0,ns,1748
perft_kiwipete,,0,,,75459471.0,ns,1771
perft_kiwipete,,0,,,78451093.0,ns,1794
perft_kiwipete,,0,,,81231415.0,ns,1817
perft_kiwipete,,0,,,80537109.0,ns,1840
perft_kiwipete,,0,,,82711125.0,ns,1863
perft_kiwipete,,0,,,82503624.0,ns,1886
perft_kiwipete,,0,,,84120136.0,ns,1909
perft_kiwipete,,0,,,85928350.0,ns,1932
perft_kiwipete,,0,,,85802249.0,ns,1955
perft_kiwipete,,0,,,87027658.0,ns,1978
perft_kiwipete,,0,,,87279560.0,ns,2001
perft_kiwipete,,0,,,92075895.0,ns,2024
perft_kiwipete,,0,,,91151589.0,ns,2047
perft_kiwipete,,0,,,90328883.0,ns,2070
perft_kiwipete,,0,,,91161689.0,ns,2093
perft_kiwipete,,0,,,91345590.0,ns,2116
perft_kiwipete,,0,,,87524561.0,ns,2139
perft_kiwipete,,0,,,92759101.0,ns,2162
perft_kiwipete,,0,,,92508199.0,ns,2185
perft_kiwipete,,0,,,96022026.0,ns,2208
perft_kiwipete,,0,,,97162034.0,ns,2231
perft_kiwipete,,0,,,92152796.0,ns,2254
perft_kiwipete,,0,,,95883624.0,ns,2277
perft_kiwipete,,0,,,97725637.0,ns,2300
