group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
perft_kiwipete,,1,,,961482.0,ns,25
perft_kiwipete,,1,,,1931465.0,ns,50
perft_kiwipete,,1,,,2884146.0,ns,75
perft_kiwipete,,1,,,3889231.0,ns,100
perft_kiwipete,,1,,,4817711.0,ns,125
perft_kiwipete,,1,,,5831298.0,ns,150
perft_kiwipete,,1,,,7188813.0,ns,175
perft_kiwipete,,1,,,7987481.0,ns,200
perft_kiwipete,,1,,,9674426.0,ns,225
perft_kiwipete,,1,,,9786134.0,ns,250
perft_kiwipete,,1,,,11242659.0,ns,275
perft_kiwipete,,1,,,11624292.0,ns,300
perft_kiwipete,,1,,,13890585.0,ns,325
perft_kiwipete,,1,,,13544855.0,ns,350
perft_kiwipete,,1,,,14492136.0,ns,375
perft_kiwipete,,1,,,16374697.0,ns,400
perft_kiwipete,,1,,,16418991.0,ns,425
perft_kiwipete,,1,,,17471072.0,ns,450
perft_kiwipete,,1,,,19216019.0,ns,475
perft_kiwipete,,1,,,19547948.0,ns,500
perft_kiwipete,,1,,,21662025.0,ns,525
perft_kiwipete,,1,,,21211687.0,ns,550
perft_kiwipete,,1,,,22232974.0,ns,575
perft_kiwipete,,1,,,23719099.0,ns,600
perft_kiwipete,,1,,,24150435.0,ns,625
perft_kiwipete,,1,,,26429728.0,ns,650
perft_kiwipete,,1,,,26065596.0,ns,675
perft_kiwipete,,1,,,27963957.0,ns,700
perft_kiwipete,,1,,,29184160.0,ns,725
perft_kiwipete,,1,,,32542242.0,ns,750
perft_kiwipete,,1,,,34686223.0,ns,775
perft_kiwipete,,1,,,35444788.0,ns,800
perft_kiwipete,,1,,,37965699.0,ns,825
perft_kiwipete,,1,,,38480043.0,ns,850
perft_kiwipete,,1,,,39101296.0,ns,875
perft_kiwipete,,1,,,40748934.0,ns,900
perft_kiwipete,,1,,,41896331.0,ns,925
perft_kiwipete,,1,,,40879845.0,ns,950
perft_kiwipete,,1,,,38872376.0,ns,975
perft_kiwipete,,1,,,40131482.0,ns,1000
perft_kiwipete,,1,,,40520515.0,ns,1025
perft_kiwipete,,1,,,41578504.0,ns,1050
perft_kiwipete,,1,,,42963021.0,ns,1075
perft_kiwipete,,1,,,48322872.0,ns,1100
perft_kiwipete,,1,,,48762909.0,ns,1125
perft_kiwipete,,1,,,45997777.0,ns,1150
perft_kiwipete,,1,,,50587240.0,ns,1175
perft_kiwipete,,1,,,54546442.0,ns,1200
perft_kiwipete,,1,,,48397030.0,ns,1225
perft_kiwipete,,1,,,49667435.0,ns,1250
perft_kiwipete,,1,,,50580112.0,ns,1275
perft_kiwipete,,1,,,51215865.0,ns,1300
perft_kiwipete,,1,,,53725473.0,ns,1325
perft_kiwipete,,1,,,52675286.0,ns,1350
perft_kiwipete,,1,,,59843883.0,ns,1375
perft_kiwipete,,1,,,63136257.0,ns,1400
perft_kiwipete,,1,,,63581395.0,ns,1425
perft_kiwipete,,1,,,64394662.0,ns,1450
perft_kiwipete,,1,,,66868768.0,ns,1475
perft_kiwipete,,1,,,67153492.0,ns,1500
perft_kiwipete,,1,,,65186428.0,ns,1525
perft_kiwipete,,1,,,61407613.0,ns,1550
perft_kiwipete,,1,,,62496604.0,ns,1575
perft_kiwipete,,1,,,63199836.0,ns,1600
perft_kiwipete,,1,,,70519803.0,ns,1625
perft_kiwipete,,1,,,78836686.0,ns,1650
perft_kiwipete,,1,,,75309296.0,ns,1675
perft_kiwipete,,1,,,71065247.0,ns,1700
perft_kiwipete,,1,,,69226196.0,ns,1725
perft_kiwipete,,1,,,70166173.0,ns,1750
perft_kiwipete,,1,,,69884550.0,ns,1775
perft_kiwipete,,1,,,73978987.0,ns,1800
perft_kiwipete,,1,,,77956214.0,ns,1825
perft_kiwipete,,1,,,76842922.0,ns,1850
perft_kiwipete,,1,,,74789954.0,ns,1875
perft_kiwipete,,1,,,74859959.0,ns,1900
perft_kiwipete,,1,,,75815438.0,ns,1925
perft_kiwipete,,1,,,77931050.0,ns,1950
perft_kiwipete,,1,,,88895327.0,ns,1975
perft_kiwipete,,1,,,79331750.0,ns,2000
perft_kiwipete,,1,,,83506289.0,ns,2025
perft_kiwipete,,1,,,82232086.0,ns,2050
perft_kiwipete,,1,,,82169480.0,ns,2075
perft_kiwipete,,1,,,85776674.0,ns,2100
perft_kiwipete,,1,,,87132884.0,ns,2125
perft_kiwipete,,1,,,84424064.0,ns,2150
perft_kiwipete,,1,,,86429927.0,ns,2175
perft_kiwipete,,1,,,94118651.0,ns,2200
perft_kiwipete,,1,,,88755609.0,ns,2225
perft_kiwipete,,1,,,89465988.0,ns,2250
perft_kiwipete,,1,,,88769032.0,ns,2275
perft_kiwipete,,1,,,91482249.0,ns,2300
perft_kiwipete,,1,,,92202908.0,ns,2325
perft_kiwipete,,1,,,104903128.0,ns,2350
perft_kiwipete,,1,,,96483351.0,ns,2375
perft_kiwipete,,1,,,94678207.0,ns,2400
perft_kiwipete,,1,,,96367242.0,ns,2425
perft_kiwipete,,1,,,99414987.0,ns,2450
perft_kiwipete,,1,,,113907151.0,ns,2475
perft_kiwipete,,1,,,104773743.0,ns,2500
